編號,動物,英文名,短影音主題建議,搜尋關鍵字,短影音搜尋連結
1,獅子,Lion,雄獅吼叫或獅群互動,lion roar shorts,https://www.youtube.com/results?search_query=lion+roar+shorts
2,老虎,Tiger,老虎游泳或近距離走動,tiger swimming shorts,https://www.youtube.com/results?search_query=tiger+swimming+shorts
3,大象,Elephant,小象玩水或象群散步,baby elephant playing shorts,https://www.youtube.com/results?search_query=baby+elephant+playing+shorts
4,長頸鹿,Giraffe,長頸鹿吃葉子或慢動作奔跑,giraffe eating leaves shorts,https://www.youtube.com/results?search_query=giraffe+eating+leaves+shorts
5,斑馬,Zebra,斑馬奔跑或群體過河,zebra running shorts,https://www.youtube.com/results?search_query=zebra+running+shorts
6,河馬,Hippopotamus,河馬張嘴或泡水,hippo open mouth shorts,https://www.youtube.com/results?search_query=hippo+open+mouth+shorts
7,犀牛,Rhinoceros,犀牛走路或泥浴,rhino mud bath shorts,https://www.youtube.com/results?search_query=rhino+mud+bath+shorts
8,熊貓,Giant Panda,熊貓吃竹子或翻滾,panda eating bamboo shorts,https://www.youtube.com/results?search_query=panda+eating+bamboo+shorts
9,無尾熊,Koala,無尾熊抱樹或吃尤加利葉,koala eating eucalyptus shorts,https://www.youtube.com/results?search_query=koala+eating+eucalyptus+shorts
10,袋鼠,Kangaroo,袋鼠跳躍或小袋鼠探頭,kangaroo hopping shorts,https://www.youtube.com/results?search_query=kangaroo+hopping+shorts
11,樹懶,Sloth,樹懶慢動作移動或吃葉子,sloth moving shorts,https://www.youtube.com/results?search_query=sloth+moving+shorts
12,狐獴,Meerkat,狐獴站哨或群體互動,meerkat standing shorts,https://www.youtube.com/results?search_query=meerkat+standing+shorts
13,水獺,Otter,水獺漂浮或敲貝殼,otter floating shorts,https://www.youtube.com/results?search_query=otter+floating+shorts
14,企鵝,Penguin,企鵝走路或跳水,penguin walking shorts,https://www.youtube.com/results?search_query=penguin+walking+shorts
15,北極熊,Polar Bear,北極熊游泳或玩雪,polar bear swimming shorts,https://www.youtube.com/results?search_query=polar+bear+swimming+shorts
16,棕熊,Brown Bear,棕熊抓魚或搔癢,brown bear catching fish shorts,https://www.youtube.com/results?search_query=brown+bear+catching+fish+shorts
17,狼,Wolf,狼嚎或狼群奔跑,wolf howling shorts,https://www.youtube.com/results?search_query=wolf+howling+shorts
18,狐狸,Fox,狐狸跳雪或覓食,fox jumping snow shorts,https://www.youtube.com/results?search_query=fox+jumping+snow+shorts
19,浣熊,Raccoon,浣熊洗手或找食物,raccoon washing hands shorts,https://www.youtube.com/results?search_query=raccoon+washing+hands+shorts
20,刺蝟,Hedgehog,刺蝟捲球或吃點心,hedgehog eating shorts,https://www.youtube.com/results?search_query=hedgehog+eating+shorts
21,兔子,Rabbit,兔子跳躍或吃胡蘿蔔,rabbit eating carrot shorts,https://www.youtube.com/results?search_query=rabbit+eating+carrot+shorts
22,松鼠,Squirrel,松鼠藏堅果或跳樹,squirrel hiding nuts shorts,https://www.youtube.com/results?search_query=squirrel+hiding+nuts+shorts
23,鹿,Deer,鹿奔跑或小鹿跟媽媽,deer running shorts,https://www.youtube.com/results?search_query=deer+running+shorts
24,駱駝,Camel,駱駝行走或喝水,camel walking shorts,https://www.youtube.com/results?search_query=camel+walking+shorts
25,羊駝,Alpaca,羊駝吃草或表情特寫,alpaca funny shorts,https://www.youtube.com/results?search_query=alpaca+funny+shorts
26,美洲豹,Jaguar,美洲豹潛行或游泳,jaguar swimming shorts,https://www.youtube.com/results?search_query=jaguar+swimming+shorts
27,花豹,Leopard,花豹爬樹或狩獵動作,leopard climbing tree shorts,https://www.youtube.com/results?search_query=leopard+climbing+tree+shorts
28,獵豹,Cheetah,獵豹衝刺或幼豹玩耍,cheetah running shorts,https://www.youtube.com/results?search_query=cheetah+running+shorts
29,猩猩,Orangutan,猩猩使用工具或照顧幼崽,orangutan using tools shorts,https://www.youtube.com/results?search_query=orangutan+using+tools+shorts
30,大猩猩,Gorilla,大猩猩捶胸或親子互動,gorilla chest beat shorts,https://www.youtube.com/results?search_query=gorilla+chest+beat+shorts
31,黑猩猩,Chimpanzee,黑猩猩互動或學習動作,chimpanzee funny shorts,https://www.youtube.com/results?search_query=chimpanzee+funny+shorts
32,猴子,Monkey,猴子攀爬或搶食,monkey climbing shorts,https://www.youtube.com/results?search_query=monkey+climbing+shorts
33,狐猴,Lemur,狐猴跳躍或曬太陽,lemur jumping shorts,https://www.youtube.com/results?search_query=lemur+jumping+shorts
34,貓頭鷹,Owl,貓頭鷹轉頭或飛行,owl head turn shorts,https://www.youtube.com/results?search_query=owl+head+turn+shorts
35,老鷹,Eagle,老鷹飛行或俯衝,eagle flying shorts,https://www.youtube.com/results?search_query=eagle+flying+shorts
36,孔雀,Peacock,孔雀開屏,peacock dancing shorts,https://www.youtube.com/results?search_query=peacock+dancing+shorts
37,鸚鵡,Parrot,鸚鵡說話或模仿聲音,parrot talking shorts,https://www.youtube.com/results?search_query=parrot+talking+shorts
38,火烈鳥,Flamingo,火烈鳥群舞或單腳站立,flamingo dance shorts,https://www.youtube.com/results?search_query=flamingo+dance+shorts
39,鴕鳥,Ostrich,鴕鳥奔跑或好奇靠近,ostrich running shorts,https://www.youtube.com/results?search_query=ostrich+running+shorts
40,鱷魚,Crocodile,鱷魚張嘴或滑入水中,crocodile open mouth shorts,https://www.youtube.com/results?search_query=crocodile+open+mouth+shorts
41,短吻鱷,Alligator,短吻鱷游泳或曬太陽,alligator swimming shorts,https://www.youtube.com/results?search_query=alligator+swimming+shorts
42,海龜,Sea Turtle,海龜游泳或小海龜入海,sea turtle swimming shorts,https://www.youtube.com/results?search_query=sea+turtle+swimming+shorts
